,date,open,close,high,low,volume,code
1281,2012-09-06,18.182,18.338,18.467,18.14,96156.0,601318
1282,2012-09-07,18.605,19.365,19.609,18.605,402051.0,601318
1283,2012-09-10,19.388,19.328,19.508,19.158,161953.0,601318
1284,2012-09-11,19.241,18.983,19.241,18.849,139953.0,601318
1285,2012-09-12,19.204,18.983,19.388,18.859,133843.0,601318
1286,2012-09-13,18.983,18.803,19.043,18.789,135444.0,601318
1287,2012-09-14,19.034,18.895,19.278,18.789,199839.0,601318
1288,2012-09-17,18.789,18.435,19.034,18.421,158170.0,601318
1289,2012-09-18,18.306,18.435,18.591,18.103,113933.0,601318
1290,2012-09-19,18.426,18.596,18.642,18.375,104929.0,601318
1291,2012-09-20,18.582,18.334,18.582,18.315,187217.0,601318
1292,2012-09-21,18.269,18.228,18.43,18.099,105097.0,601318
1293,2012-09-24,18.108,18.541,18.61,17.974,104670.0,601318
1294,2012-09-25,18.513,18.711,18.983,18.513,138251.0,601318
1295,2012-09-26,18.651,18.651,18.855,18.596,102482.0,601318
1296,2012-09-27,18.711,19.248,19.52,18.711,254070.0,601318
1297,2012-09-28,19.067,19.386,19.442,18.998,225460.0,601318
1298,2012-10-08,19.442,19.16,19.77,19.113,120276.0,601318
1299,2012-10-09,19.275,19.576,19.714,19.275,175674.0,601318
1300,2012-10-10,19.506,19.506,19.599,19.414,84831.0,601318
1301,2012-10-11,19.414,19.248,19.414,19.155,95081.0,601318
1302,2012-10-12,19.405,19.187,19.64,19.123,116238.0,601318
1303,2012-10-15,19.317,19.285,19.553,19.164,73058.0,601318
1304,2012-10-16,19.285,19.303,19.525,19.201,93644.0,601318
1305,2012-10-17,19.414,19.201,19.414,18.952,130765.0,601318
1306,2012-10-18,19.183,19.317,19.4,18.956,175185.0,601318
1307,2012-10-19,19.252,19.414,19.414,19.252,91612.0,601318
1308,2012-10-22,19.321,19.516,19.539,19.289,109040.0,601318
1309,2012-10-23,19.585,19.303,19.636,19.234,98355.0,601318
1310,2012-10-24,19.248,19.266,19.423,19.174,89125.0,601318
1311,2012-10-25,19.252,18.878,19.368,18.845,128433.0,601318
1312,2012-10-26,18.887,18.369,18.975,18.235,147482.0,601318
1313,2012-10-29,18.295,17.593,18.342,17.38,340088.0,601318
1314,2012-10-30,17.657,17.787,18.009,17.657,219171.0,601318
1315,2012-10-31,17.916,17.935,17.999,17.75,101405.0,601318
1316,2012-11-01,17.935,18.18,18.397,17.842,398841.0,601318
1317,2012-11-02,18.041,18.05,18.194,17.856,281744.0,601318
1318,2012-11-05,18.027,17.916,18.097,17.699,266093.0,601318
1319,2012-11-06,17.912,18.092,18.138,17.713,213022.0,601318
1320,2012-11-07,18.092,17.99,18.092,17.893,134196.0,601318
1321,2012-11-08,17.842,17.847,18.041,17.81,167492.0,601318
